sample_id,label,PRS
HG00096,0,-0.1203280979885009
HG00097,0,-0.0471231812067828
HG00099,0,0.0
HG00100,0,-0.1674512791952837
HG00101,1,-0.1021413522446972
HG00102,0,-0.0471231812067828
HG00103,1,0.0
HG00105,1,-0.0653099269505865
HG00106,1,-0.1021413522446972
HG00107,1,-0.0471231812067828
HG00108,0,0.0
HG00109,1,-0.0181867457438037
HG00110,1,-0.0942463624135656
HG00111,0,-0.22246945023319808
HG00112,1,-0.0942463624135656
HG00113,1,-0.2145744604020665
HG00114,0,-0.14926453345148
HG00115,0,-0.14926453345148
HG00116,0,0.0
HG00117,0,-0.4875247629564572
HG00118,0,-0.0471231812067828
HG00119,0,-0.1021413522446972
HG00120,1,-0.1674512791952837
HG00121,0,-0.0471231812067828
HG00122,1,-0.3382602295049772
HG00123,0,-0.1021413522446972
HG00125,0,-0.0471231812067828
HG00126,1,-0.0471231812067828
HG00127,1,-0.14926453345148
HG00128,0,-0.0471231812067828
HG00129,1,0.0
HG00130,0,0.0
HG00131,1,-0.1021413522446972
HG00132,0,-0.0942463624135656
HG00133,0,-0.1674512791952837
HG00136,1,-0.0471231812067828
HG00137,0,-0.0181867457438037
HG00138,0,-0.0471231812067828
HG00139,0,-0.0181867457438037
HG00140,1,-0.1674512791952837
HG00141,0,0.0
HG00142,0,0.0
HG00143,0,-0.1963877146582628
HG00145,0,-0.1021413522446972
HG00146,1,-0.14926453345148
HG00148,0,-0.0653099269505865
HG00149,1,0.0
HG00150,1,-0.0471231812067828
HG00151,1,-0.1963877146582628
HG00154,0,-0.0471231812067828
HG00155,0,-0.1674512791952837
HG00157,1,-0.0942463624135656
HG00158,1,-0.0471231812067828
HG00159,0,-0.14926453345148
HG00160,1,-0.0471231812067828
HG00171,0,-0.0834966726943902
HG00173,1,-0.0181867457438037
HG00174,0,-0.1203280979885009
HG00176,1,-0.0834966726943902
HG00177,0,-0.0471231812067828
HG00178,0,-0.0181867457438037
HG00179,0,-0.0653099269505865
HG00180,0,-0.0653099269505865
HG00181,1,-0.0471231812067828
HG00182,1,-0.0181867457438037
HG00183,0,-0.2877793771837846
HG00185,0,-0.1203280979885009
HG00186,1,-0.1021413522446972
HG00187,1,-0.0471231812067828
HG00188,0,-0.0471231812067828
HG00189,1,0.0
HG00190,1,0.0
HG00231,1,-0.14926453345148
HG00232,0,-0.1021413522446972
HG00233,1,-0.0471231812067828
HG00234,1,-0.1674512791952837
HG00235,1,0.0
HG00236,0,0.0
HG00237,1,-0.0942463624135656
HG00238,1,-0.0942463624135656
HG00239,0,-0.1021413522446972
HG00240,1,-0.0471231812067828
HG00242,1,-0.0471231812067828
HG00243,1,-0.14926453345148
HG00244,1,-0.1021413522446972
HG00245,0,0.0
HG00246,1,-0.1963877146582628
HG00250,0,-0.25140588569617717
HG00251,1,0.0
HG00252,1,-0.0471231812067828
HG00253,0,0.0
HG00254,0,-0.0471231812067828
HG00255,1,-0.0181867457438037
HG00256,1,-0.23611887726028
HG00257,1,0.0
HG00258,0,-0.1124331081573693
HG00259,0,0.0
HG00260,0,-0.0653099269505865
HG00261,0,-0.0471231812067828
HG00262,1,0.0
HG00263,1,-0.1021413522446972
HG00264,0,-0.0653099269505865
HG00265,0,-0.0942463624135656
HG00266,1,-0.0181867457438037
HG00267,0,-0.0181867457438037
HG00268,1,-0.1674512791952837
HG00269,0,-0.1963877146582628
HG00271,0,-0.0181867457438037
HG00272,0,-0.23611887726028
HG00273,1,-0.0181867457438037
HG00274,1,-0.3349025583905674
HG00275,0,0.0
HG00276,1,0.0
HG00277,1,-0.0471231812067828
HG00278,0,0.0
HG00280,1,0.0
HG00281,0,-0.0471231812067828
HG00282,0,-0.0942463624135656
HG00284,0,-0.0363734914876074
HG00285,0,0.0
HG00288,0,-0.0471231812067828
HG00290,0,-0.1889956960534972
HG00304,1,-0.0181867457438037
HG00306,1,0.0
HG00308,0,-0.1021413522446972
HG00309,1,-0.1674512791952837
HG00310,0,-0.0653099269505865
HG00311,0,-0.0471231812067828
HG00313,1,-0.0942463624135656
HG00315,0,-0.1674512791952837
HG00318,1,-0.0471231812067828
HG00319,1,-0.1124331081573693
HG00320,1,-0.1963877146582628
HG00321,1,-0.0471231812067828
HG00323,0,-0.2145744604020665
HG00324,0,-0.130619853901173
HG00325,1,-0.1203280979885009
HG00326,1,-0.1021413522446972
HG00327,1,-0.29852906690296
HG00328,1,-0.0363734914876074
HG00329,0,-0.0653099269505865
HG00330,1,-0.0363734914876074
HG00331,0,-0.0471231812067828
HG00332,1,-0.14926453345148
HG00334,0,-0.1674512791952837
HG00335,0,-0.0471231812067828
HG00336,0,-0.0471231812067828
