,coefficients
3_12359049,-0.13153865652028573
3_23211615,0.21428173429325104
3_185520732,0.08156118884544201
3_185525199,0.0
4_92296361,0.0
4_92296559,0.0
4_92303639,0.0
4_92304224,-0.3445619342581452
4_92305124,0.3385361663844844
4_92309614,0.11935443300761513
4_92324909,-0.376631424537792
4_92504792,-0.2589903745230866
4_92518387,-0.22407302086883785
4_92525916,0.0
4_153518973,-0.32066380662015426
4_153519246,0.0
6_31033863,0.0
6_31097814,0.0
6_31101904,0.0
6_31266977,0.0
6_31300819,0.3865271073422813
6_140246321,0.2157451827209707
7_15045619,-0.14405303955481302
7_15054063,-0.031725268519840845
7_15054190,0.0
7_15054232,0.0
7_15055010,0.0
7_15060429,-0.19389257465616838
7_15063430,0.0
7_15063923,0.0
8_94746698,-0.352213781022625
8_94753674,0.0
8_94782731,0.0
8_94823565,0.0
20_42900648,-0.026210453102003765
20_42923299,0.0
20_42924921,-0.2039502051105473
20_42926102,0.0
20_42926163,0.0
20_42926958,0.0
20_42930096,-0.04037515869022139
20_42934021,0.0
20_43010889,-0.021498244732415864
