,coefficients
3_12359049,-0.03229931815117234
3_23211615,0.09379604662609951
3_185520732,0.0035913235576496335
3_185525199,0.0
4_92296361,0.0
4_92296559,0.0
4_92303639,0.0
4_92304224,-0.07000031925751349
4_92305124,0.0
4_92309614,0.0
4_92324909,-0.09430356617552912
4_92504792,-0.04573927719127211
4_92518387,-0.19528742146766326
4_92525916,0.0
4_153518973,-0.22894347604405452
4_153519246,0.0
6_31033863,0.0
6_31097814,0.0
6_31101904,0.0
6_31266977,0.0
6_31300819,0.08940671017800152
6_140246321,0.13555863681495534
7_15045619,-0.07797462209977175
7_15054063,0.0
7_15054190,0.0
7_15054232,0.0
7_15055010,0.0
7_15060429,-0.1107282172092421
7_15063430,0.0
7_15063923,0.0
8_94746698,-0.2446499586411304
8_94753674,0.0
8_94782731,0.0
8_94823565,0.0
20_42900648,0.0
20_42923299,0.0
20_42924921,-0.06492738955415821
20_42926102,0.0
20_42926163,0.0
20_42926958,0.0
20_42930096,-0.13006961753510793
20_42934021,0.0
20_43010889,0.0
age,0.012409247055506327
sex,0.0
