,coefficients
2_127807027,-0.2859375641964517
19_45074177,-0.03746506755964005
19_45078553,0.0
19_45078886,-0.09648190661465189
19_45196964,0.880584270147617
19_45231821,-0.08292565824753081
19_45233385,0.5422110558315617
19_45249509,-0.09172006609543142
19_45324138,0.13162235549898535
19_45329214,0.0
19_45342124,-0.08104936071604944
19_45343579,-0.5034990523410825
19_45344722,-0.19141237849589687
19_45345773,0.302500818850085
19_45360573,-0.12224851941158603
19_45360762,-0.036467766651296626
19_45367777,-0.07142407211381147
19_45370335,0.072193030371768
19_45378144,0.0
19_45387596,0.10878934386618447
19_45398817,-0.30214997925247644
19_45401666,0.0
19_45403412,0.0
19_45403858,0.0
19_45403924,0.0
19_45404431,-0.019859159471713978
19_45404972,0.0
19_45405062,0.0
19_45407788,0.5444835042108627
19_45591084,-0.5094925431954028
19_45606125,0.0
19_45612226,0.47277790200508574
19_45614601,0.0
19_45618959,0.0
19_45627235,0.0
19_45636201,0.259621723443745
19_45636319,-0.5146259045208145
19_45638245,0.0
19_45642044,0.0
19_45650099,0.0
19_45650386,0.0
19_45655333,0.0
19_45673701,0.20893305373755508
19_45685068,-0.046858631480692525
19_45690545,0.13173349424865247
19_45723706,-0.09387345559796546
11_85860305,0.17629693538593813
7_99702947,0.22012324158985097
7_143105830,-0.18036647593523225
7_143109208,0.13959739237617172
age,-0.007790405378721649
sex,0.0
