chrom,pos,variant_id,effect_allele,beta,p_value
10,114754784,rs35198068,t,-0.2634,2.215e-58
10,114754071,rs34872471,t,-0.2627,5.195000000000001e-58
10,114773926,rs12244851,t,0.2538,4.054e-54
10,114754088,rs7901695,t,-0.2516,1.6109999999999998e-53
10,114774433,rs36090025,a,-0.2504,1.284e-50
10,114785424,rs7074440,a,0.2509,3.361e-50
10,114765747,rs4575195,a,0.2461,1.651e-49
10,114767771,rs4132670,a,0.2455,2.644e-49
10,114791490,rs12260037,t,0.2378,3.366e-43
10,114818754,rs35519679,a,0.2404,5.898e-43
10,114788815,rs12243326,t,-0.2368,6.842e-43
10,114798893,rs61872784,a,0.2367,1.47e-42
10,114799172,rs56087297,a,-0.2365,1.6870000000000002e-42
10,114817009,rs11196211,a,-0.2375,1.3909999999999998e-41
10,114750500,rs72826075,a,-0.2367,2.037e-41
10,114749734,rs35011184,a,0.237,2.083e-41
10,114750236,rs61875118,t,-0.2363,2.981e-41
10,114752503,rs17747324,t,-0.2352,4.0439999999999996e-41
10,114758779,rs4267006,t,0.2279,3.451e-37
10,114750380,rs61875119,a,0.2293,9.009e-37
10,114773608,rs55899248,a,-0.2249,1.832e-36
10,114781950,rs55853916,c,0.2251,2.456e-36
10,114782790,rs55972445,t,0.2244,3.452e-36
10,114765171,rs6585199,a,0.1794,2.872e-31
10,114761697,rs10885402,a,-0.1789,5.73e-31
10,114762237,rs6585198,a,0.1787,6.498e-31
10,114762064,rs6585197,t,0.1785,7.871000000000001e-31
10,114764661,rs10787471,a,0.1797,9.575e-31
10,114773927,rs7904519,a,-0.1768,1.698e-30
10,114768609,rs6585200,a,-0.1771,1.961e-30
10,114777724,rs10885406,a,-0.1762,2.822e-30
10,114777396,rs7918599,t,0.176,3.1380000000000003e-30
10,114781297,rs10787472,a,-0.1759,3.6080000000000005e-30
10,114779538,rs7899529,a,0.1763,3.751e-30
10,114748617,rs4074718,a,0.1788,4.519e-30
10,114780633,rs11196191,a,-0.1755,4.784e-30
10,114781400,rs10787473,a,0.1759,4.9480000000000004e-30
10,114781698,rs12258200,t,-0.1755,5.074e-30
10,114783403,rs6585203,c,-0.1757,5.2050000000000006e-30
10,114748497,rs4074720,t,0.1786,5.357e-30
10,114783333,rs7921525,t,0.1756,7.905000000000002e-30
10,114783838,rs11196193,t,-0.1751,9.221e-30
10,114785278,rs4309084,a,-0.1745,1.7200000000000001e-29
10,114768783,rs6585201,a,0.177,1.741e-29
10,114788436,rs56299331,t,0.2106,1.896e-29
10,114795256,rs4367880,c,0.2096,3.336e-29
10,114785939,rs4128598,a,-0.1733,5.785e-29
10,114806697,rs61872786,a,0.2067,1.277e-28
10,114786154,rs4128597,a,-0.1719,1.331e-28
10,114787012,rs7924080,t,-0.1717,1.349e-28
10,114787090,rs7907610,a,-0.1716,1.476e-28
10,114801488,rs72826094,a,-0.2066,1.92e-28
10,114793451,rs12359102,a,0.1685,1.634e-27
10,114801525,rs7895340,a,0.1687,1.653e-27
10,114793823,rs7900150,a,0.1686,2.071e-27
10,114791388,rs10885408,a,-0.1682,3.094e-27
10,114808072,rs10885409,t,-0.1666,3.506e-27
10,114821527,rs61872790,a,-0.2052,4.405e-27
10,114811316,rs11196208,t,-0.1662,5.323e-27
10,114801938,rs11196200,c,-0.1671,7.112e-27
10,114813041,rs4077527,t,0.1652,1.298e-26
10,114813047,rs12718338,t,0.1652,1.351e-26
10,114777670,rs10885405,t,0.1626,1.706e-25
10,114782803,rs6585202,t,-0.1618,3.1260000000000003e-25
10,114783586,rs6585204,c,-0.1616,4.237e-25
10,114821807,rs4918789,t,-0.1583,1.19e-24
10,114821949,rs4917642,t,0.1573,2.679e-24
10,114818772,rs35936842,a,0.1617,3.2449999999999998e-24
10,114821249,rs11196212,t,-0.1563,4.143e-24
10,114820961,rs4918788,a,0.1563,4.655e-24
10,114823426,rs7087006,a,-0.1594,6.455e-24
10,114796048,rs7100927,a,-0.1564,1.834e-23
10,114789077,rs7077039,t,-0.1561,2.524e-23
10,114794719,rs7919152,t,0.1559,2.823e-23
10,114821554,rs11196213,t,0.1453,1.401e-20
10,114748029,rs11196180,a,-0.1443,4.372e-19
10,114747277,rs4073288,a,0.1441,5.347e-19
10,114822739,rs7085989,a,-0.1399,6.329e-19
3,185511687,rs73061087,t,0.1304,1.616e-17
3,185513646,rs7640539,c,0.1298,2.284e-17
3,185513296,rs35909974,a,0.1298,2.294e-17
3,185516520,rs150012264,a,0.1298,2.321e-17
3,185514088,rs7631557,t,0.1299,2.357e-17
3,185514931,rs7646518,t,-0.1298,2.364e-17
3,185520578,rs577552515,a,-0.1297,2.385e-17
3,185510006,rs143466752,a,0.1297,2.432e-17
3,185519848,rs7633811,c,-0.1296,2.534e-17
3,185520342,rs10428126,t,-0.1296,2.589e-17
3,185514393,rs9808924,t,-0.1296,2.597e-17
