,coefficients
2_127840714,0.07073650435998627
2_127841945,0.0
2_127846807,0.00988854649585502
2_127880876,0.15787414250390477
19_45149613,0.3541595179164929
19_45165912,0.0
19_45207828,0.05531679325915527
19_45216649,-0.17942184081950888
19_45231821,0.01740703403918618
19_45233385,0.23710231900119147
19_45295886,-0.10984639311873268
19_45298461,-0.08033258641349822
19_45319631,0.0
19_45323471,0.31041950845581945
19_45325738,-0.03173483444231339
19_45336035,0.0
19_45336443,-0.10337282231228806
19_45343579,0.023170012618716998
19_45369203,-0.41288708720121425
19_45380970,-0.09833512657589713
19_45382034,0.0
19_45382675,0.02035339697892931
19_45389224,-0.451244200081999
19_45402477,-0.051314644057316006
19_45403412,0.0
19_45403858,-0.021321549846202936
19_45404431,0.0
19_45404972,0.0
19_45414392,-0.23208226574359397
19_45423944,0.021694244853705715
19_45448465,0.021144001676817337
19_45453239,0.06504060301270298
19_45458235,0.0
19_45458593,0.0
19_45458925,0.0
19_45466792,0.0
19_45467698,0.0
19_45471742,0.0
19_45472649,0.0
19_45473097,0.0
19_45474680,-0.06276439630655137
19_45474876,-0.06276439630655137
19_45477381,0.07429907440044076
19_45478352,0.03427624570034879
19_45478816,0.0
19_45480037,0.0
19_45480174,0.0
19_45481884,0.0
19_45482570,0.0
19_45483844,-0.02551960515294184
19_45485462,0.0
19_45485465,0.0
19_45488093,0.0
19_45488133,0.0
19_45490065,0.0
19_45490428,-0.12824851866891634
19_45496624,0.09043815248374856
19_45496996,0.0
19_45497577,0.0
19_45497852,0.0
19_45498622,0.0
19_45500712,0.0
19_45502808,0.0
19_45507542,0.0
19_45592238,0.0
19_45606125,0.11855711593810755
19_45612226,0.0
19_45614601,0.0
19_45618959,0.0
19_45627235,0.0
19_45631816,0.0
19_45633686,-0.35291412796283655
19_45636201,0.1502493078485059
19_45636319,0.0
19_45638245,0.01505632745944907
19_45642044,0.0
19_45650099,0.0
19_45650386,0.0
19_45651237,-0.03699074463121034
19_45652079,0.012913790416538232
19_45655333,0.011798715577848493
19_45673701,-0.010000106147491434
19_45689892,-0.0299305837768756
17_47322746,0.11750821649695808
17_47323695,0.0
17_47324485,0.0
17_47325717,0.30492401524093304
17_47329365,0.0
17_47330796,-0.09963886159317903
17_47330890,0.0
17_47331987,0.0
17_47332807,0.0
17_47333067,0.0
17_47341580,0.0
17_47341871,0.0
17_47342153,-0.34873510595946294
17_47342782,0.0
17_47343277,0.0
17_47344530,0.0
17_47346529,0.1414825766378389
17_47349052,0.0
17_47350664,-0.047961089689389655
17_47353487,0.010467053481023548
17_47356100,0.0
17_47357969,0.0
17_47360889,-0.0831518276137373
17_47364795,0.0
17_47367536,0.0
17_47369099,0.0
17_47377267,0.0
17_47378369,0.08976859820336106
17_47378766,0.0
17_47378771,0.0
17_47382268,0.0
17_47397323,0.0
17_47397579,0.0
17_47403553,0.0
17_47406913,0.22269846792019468
17_47407071,0.0
17_47411987,0.22269846792019468
17_47418698,0.0
17_47421509,0.0
17_47422317,-0.08991445876310278
17_47427511,0.0
17_47428573,0.0
17_47431096,0.0
17_47432577,0.0
17_47432879,0.0
17_47443580,0.0
17_47444113,-0.0653541194575119
17_47444421,-0.0653541194575119
17_47444442,-0.0653541194575119
17_47469186,-0.06468630695983307
17_61560763,-0.11259086109276825
11_85823324,-0.05381410382218859
11_85836356,-0.11504725935017487
11_85845045,0.0
11_85853251,0.0
11_85854176,0.0
11_121435587,0.10555201597234229
6_32578632,0.08677366679025164
7_143110762,0.07110762465564491
7_143122457,0.11425585551456238
